mission_id,plot_id,config_id,postprocessing_id,detector,run_date,min_height_filter,chip_size,chip_stride,resolution,F1,precision,recall,n_core_field,n_core_drone,n_field_matched,n_drone_matched,raster_blur_sigma
136,110,04_geometric_sigma_100,,geometric,2026-07-20,10.0,2000,1750,0.12,0.2432938240798502,0.8666666666666667,0.1415094339622641,106,15,15,13,
136,110,05_geometric_sigma_150,,geometric,2026-07-20,10.0,2000,1750,0.12,0.1864406779661017,0.9166666666666666,0.1037735849056603,106,12,11,11,
136,110,06_geometric_sigma_200,,geometric,2026-07-20,10.0,2000,1750,0.12,0.1228070175438596,0.875,0.0660377358490566,106,8,7,7,
136,110,07_geometric_sigma_300,,geometric,2026-07-20,10.0,2000,1750,0.12,0.09009009009009,1.0,0.0471698113207547,106,6,5,6,
136,110,08_geometric_sigma_400,,geometric,2026-07-20,10.0,2000,1750,0.12,0.09009009009009,1.0,0.0471698113207547,106,5,5,5,
136,110,09_geometric_sigma_500,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0186046511627906,0.6666666666666666,0.0094339622641509,106,3,1,2,
136,110,10_geometric_sigma_600,,geometric,2026-07-20,10.0,2000,1750,0.12,0.037037037037037,1.0,0.0188679245283018,106,3,2,3,
136,110,11_geometric_sigma_700,,geometric,2026-07-20,10.0,2000,1750,0.12,0.0,0.0,0.0,106,1,0,0,
142,6,01_geometric_sigma_none,,geometric,2026-07-20,10.0,2000,1750,0.12,0.7391304347826088,0.9444444444444444,0.6071428571428571,56,36,34,34,
142,6,02_geometric_sigma_030,,geometric,2026-07-20,10.0,2000,1750,0.12,0.7126436781609196,1.0,0.5535714285714286,56,31,31,31,
142,6,03_geometric_sigma_050,,geometric,2026-07-20,10.0,2000,1750,0.12,0.6823529411764707,1.0,0.5178571428571429,56,30,29,30,
142,6,04_geometric_sigma_100,,geometric,2026-07-20,10.0,2000,1750,0.12,0.6,1.0,0.4285714285714285,56,23,24,23,
142,6,05_geometric_sigma_150,,geometric,2026-07-20,10.0,2000,1750,0.12,0.5263157894736842,1.0,0.3571428571428571,56,19,20,19,
